Mod:Item:MetaData, Localized Name, Unlocalized Name, Is Block?, Class Name
minecraft:air, Воздух, tile.air, false, net.minecraft.item.ItemAir
minecraft:stone:0, Камень, tile.stone.stone, true, net.minecraft.item.ItemStack
minecraft:stone:1, Гранит, tile.stone.granite, true, net.minecraft.item.ItemStack
minecraft:stone:2, Полированный гранит, tile.stone.graniteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:3, Диорит, tile.stone.diorite, true, net.minecraft.item.ItemStack
minecraft:stone:4, Полированный диорит, tile.stone.dioriteSmooth, true, net.minecraft.item.ItemStack
minecraft:stone:5, Андезит, tile.stone.andesite, true, net.minecraft.item.ItemStack
minecraft:stone:6, Полированный андезит, tile.stone.andesiteSmooth, true, net.minecraft.item.ItemStack
minecraft:grass, Дёрн, tile.grass, true, net.minecraft.item.ItemColored
minecraft:dirt:0, Земля, tile.dirt.default, true, net.minecraft.item.ItemStack
minecraft:dirt:1, Каменистая земля, tile.dirt.coarse, true, net.minecraft.item.ItemStack
minecraft:dirt:2, Подзол, tile.dirt.podzol, true, net.minecraft.item.ItemStack
minecraft:cobblestone, Булыжник, tile.stonebrick, true, net.minecraft.item.ItemBlock
minecraft:planks:0, Дубовые доски, tile.wood.oak, true, net.minecraft.item.ItemStack
minecraft:planks:1, Еловые доски, tile.wood.spruce, true, net.minecraft.item.ItemStack
minecraft:planks:2, Берёзовые доски, tile.wood.birch, true, net.minecraft.item.ItemStack
minecraft:planks:3, Доски из тропического дерева, tile.wood.jungle, true, net.minecraft.item.ItemStack
minecraft:planks:4, Акациевые доски, tile.wood.acacia, true, net.minecraft.item.ItemStack
minecraft:planks:5, Доски из тёмного дуба, tile.wood.big_oak, true, net.minecraft.item.ItemStack
minecraft:sapling:0, Саженец дуба, tile.sapling.oak, true, net.minecraft.item.ItemStack
minecraft:sapling:1, Еловый саженец, tile.sapling.spruce, true, net.minecraft.item.ItemStack
minecraft:sapling:2, Саженец берёзы, tile.sapling.birch, true, net.minecraft.item.ItemStack
minecraft:sapling:3, Саженец тропического дерева, tile.sapling.jungle, true, net.minecraft.item.ItemStack
minecraft:sapling:4, Саженец акации, tile.sapling.acacia, true, net.minecraft.item.ItemStack
minecraft:sapling:5, Саженец тёмного дуба, tile.sapling.big_oak, true, net.minecraft.item.ItemStack
minecraft:bedrock, Бедрок, tile.bedrock, true, net.minecraft.item.ItemBlock
minecraft:sand:0, Песок, tile.sand.default, true, net.minecraft.item.ItemStack
minecraft:sand:1, Красный песок, tile.sand.red, true, net.minecraft.item.ItemStack
minecraft:gravel, Гравий, tile.gravel, true, net.minecraft.item.ItemBlock
minecraft:gold_ore, Золотая руда, tile.oreGold, true, net.minecraft.item.ItemBlock
minecraft:iron_ore, Железная руда, tile.oreIron, true, net.minecraft.item.ItemBlock
minecraft:coal_ore, Каменный уголь, tile.oreCoal, true, net.minecraft.item.ItemBlock
minecraft:log:0, Дуб, tile.log.oak, true, net.minecraft.item.ItemStack
minecraft:log:1, Ель, tile.log.spruce, true, net.minecraft.item.ItemStack
minecraft:log:2, Берёза, tile.log.birch, true, net.minecraft.item.ItemStack
minecraft:log:3, Тропическое дерево, tile.log.jungle, true, net.minecraft.item.ItemStack
minecraft:leaves:0, Дубовые листья, tile.leaves.oak, true, net.minecraft.item.ItemStack
minecraft:leaves:1, Хвоя, tile.leaves.spruce, true, net.minecraft.item.ItemStack
minecraft:leaves:2, Берёзовые листья, tile.leaves.birch, true, net.minecraft.item.ItemStack
minecraft:leaves:3, Листья тропического дерева, tile.leaves.jungle, true, net.minecraft.item.ItemStack
minecraft:sponge:0, Губка, tile.sponge.dry, true, net.minecraft.item.ItemStack
minecraft:sponge:1, Мокрая губка, tile.sponge.wet, true, net.minecraft.item.ItemStack
minecraft:glass, Стекло, tile.glass, true, net.minecraft.item.ItemBlock
minecraft:lapis_ore, Лазуритовая руда, tile.oreLapis, true, net.minecraft.item.ItemBlock
minecraft:lapis_block, Лазуритовый блок, tile.blockLapis, true, net.minecraft.item.ItemBlock
minecraft:dispenser, Раздатчик, tile.dispenser, true, net.minecraft.item.ItemBlock
minecraft:sandstone:0, Песчаник, tile.sandStone.default, true, net.minecraft.item.ItemStack
minecraft:sandstone:1, Резной песчаник, tile.sandStone.chiseled, true, net.minecraft.item.ItemStack
minecraft:sandstone:2, Резной песчаник, tile.sandStone.smooth, true, net.minecraft.item.ItemStack
minecraft:noteblock, Нотный блок, tile.musicBlock, true, net.minecraft.item.ItemBlock
minecraft:golden_rail, Энергорельсы, tile.goldenRail, true, net.minecraft.item.ItemBlock
minecraft:detector_rail, Рельсы с датчиком, tile.detectorRail, true, net.minecraft.item.ItemBlock
minecraft:sticky_piston, Липкий поршень, tile.pistonStickyBase, true, net.minecraft.item.ItemPiston
minecraft:web, Паутина, tile.web, true, net.minecraft.item.ItemBlock
minecraft:tallgrass:1, Трава, tile.tallgrass.grass, true, net.minecraft.item.ItemStack
minecraft:tallgrass:2, Папоротник, tile.tallgrass.fern, true, net.minecraft.item.ItemStack
minecraft:deadbush, Мёртвый куст, tile.deadbush, true, net.minecraft.item.ItemBlock
minecraft:piston, Поршень, tile.pistonBase, true, net.minecraft.item.ItemPiston
minecraft:wool:0, Белая шерсть, tile.cloth.white, true, net.minecraft.item.ItemStack
minecraft:wool:1, Оранжевая шерсть, tile.cloth.orange, true, net.minecraft.item.ItemStack
minecraft:wool:2, Пурпурная шерсть, tile.cloth.magenta, true, net.minecraft.item.ItemStack
minecraft:wool:3, Голубая шерсть, tile.cloth.lightBlue, true, net.minecraft.item.ItemStack
minecraft:wool:4, Жёлтая шерсть, tile.cloth.yellow, true, net.minecraft.item.ItemStack
minecraft:wool:5, Лаймовая шерсть, tile.cloth.lime, true, net.minecraft.item.ItemStack
minecraft:wool:6, Розовая шерсть, tile.cloth.pink, true, net.minecraft.item.ItemStack
minecraft:wool:7, Серая шерсть, tile.cloth.gray, true, net.minecraft.item.ItemStack
minecraft:wool:8, Светло-серая шерсть, tile.cloth.silver, true, net.minecraft.item.ItemStack
minecraft:wool:9, Бирюзовая шерсть, tile.cloth.cyan, true, net.minecraft.item.ItemStack
minecraft:wool:10, Фиолетовая шерсть, tile.cloth.purple, true, net.minecraft.item.ItemStack
minecraft:wool:11, Синяя шерсть, tile.cloth.blue, true, net.minecraft.item.ItemStack
